Year,State Name,Dist Name,COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),JANUARY PERCIPITATION (Millimeters),FEBRUARY PERCIPITATION (Millimeters),MARCH PERCIPITATION (Millimeters),APRIL PERCIPITATION (Millimeters),MAY PERCIPITATION (Millimeters),JUNE PERCIPITATION (Millimeters),JULY PERCIPITATION (Millimeters),AUGUST PERCIPITATION (Millimeters),SEPTEMBER PERCIPITATION (Millimeters),OCTOBER PERCIPITATION (Millimeters),NOVEMBER PERCIPITATION (Millimeters),DECEMBER PERCIPITATION (Millimeters),JANUARY MINIMUM (Centigrate),FEBRUARY MINIMUM (Centigrate),MARCH MINIMUM (Centigrate),APRIL MINIMUM (Centigrate),MAY MINIMUM (Centigrate),JUNE MINIMUM (Centigrate),JULY MINIMUM (Centigrate),AUGUST MINIMUM (Centigrate),SEPTEMBER MINIMUM (Centigrate),OCTOBER MINIMUM (Centigrate),NOVEMBER MINIMUM (Centigrate),DECEMBER MINIMUM (Centigrate),JANUARY MAXIMUM (Centigrate),FEBRUARY MAXIMUM (Centigrate),MARCH MAXIMUM (Centigrate),APRIL MAXIMUM (Centigrate),MAY MAXIMUM (Centigrate),JUNE MAXIMUM (Centigrate),JULY MAXIMUM (Centigrate),AUGUST MAXIMUM (Centigrate),SEPTEMBER MAXIMUM (Centigrate),OCTOBER MAXIMUM (Centigrate),NOVEMBER MAXIMUM (Centigrate),DECEMBER MAXIMUM (Centigrate),JANUARY WATER DEFICIT (Millimeters),FEBRUARY WATER DEFICIT (Millimeters),MARCH WATER DEFICIT (Millimeters),APRIL WATER DEFICIT (Millimeters),MAY WATER DEFICIT (Millimeters),JUNE WATER DEFICIT (Millimeters),JULY WATER DEFICIT (Millimeters),AUGUST WATER DEFICIT (Millimeters),OCTOBER WATER DEFICIT (Millimeters),NOVEMBER WATER DEFICIT (Millimeters),DECEMBER WATER DEFICIT (Millimeters),JANUARY ACTUAL (Millimeters),FEBRUARY ACTUAL (Millimeters),MARCH ACTUAL (Millimeters),APRIL ACTUAL (Millimeters),MAY ACTUAL (Millimeters),JUNE ACTUAL (Millimeters),JULY ACTUAL (Millimeters),AUGUST ACTUAL (Millimeters),SEPTEMBER ACTUAL (Millimeters),OCTOBER ACTUAL (Millimeters),NOVEMBER ACTUAL (Millimeters),DECEMBER ACTUAL (Millimeters),JANUARY POTENTIAL (Millimeters),FEBRUARY POTENTIAL (Millimeters),MARCH POTENTIAL (Millimeters),APRIL POTENTIAL (Millimeters),MAY POTENTIAL (Millimeters),JUNE POTENTIAL (Millimeters),JULY POTENTIAL (Millimeters),AUGUST POTENTIAL (Millimeters),SEPTEMBER POTENTIAL (Millimeters),OCTOBER POTENTIAL (Millimeters),NOVEMBER POTENTIAL (Millimeters),DECEMBER POTENTIAL (Millimeters),TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1993,Orissa,Sundargarh,13.0,4.0,1114,5.59,4.53,21.46,22.72,31.16,197.51,373.02,,270.25,66.39,9.23,0.0,16.52,,19.91,26.82,27.84,28.37,27.59,28.12,26.28,22.12,19.119999999999997,12.24,29.57,,37.98,38.72,43.6,39.28,35.16,30.98,34.269999999999996,32.879999999999995,29.38,29.29,51.54,68.22,116.8,155.79,186.0,,0.0,,0.0,22.73,37.15,,39.09,44.06,36.78,38.82,,111.63,108.63,110.83,95.46,56.26,44.47,91.43,106.32,157.85,190.57,220.82,160.25,112.63,107.63,108.83,114.2,88.4,80.68,981.0,400.0,14.0,33.0,28.0,76.0,19.0,5.0,339.0,408.2,123.66,3015.0,66.53999999999999,10.99,9.45,1066.0,23.41,7.17,4.63,668.0,,4.99,3.65,4743.0,15.15,12.73
1993,Punjab,Gurdaspur,0.0,,0,64.25,55.19,83.75,,20.65,75.66,494.57,68.52,158.12,2.8,8.469999999999999,,8.39,12.49,15.43,21.14,25.3,26.97,,25.88,25.5,20.18,13.01,11.26,,27.87,28.1,34.74,41.52,42.09,34.47,35.7,34.55,33.9,26.79,23.11,4.02,14.28,19.54,108.04,178.45,134.17,0.0,32.260000000000005,3.44,57.32,44.03,45.79,57.05,85.35,53.86,32.379999999999995,76.32,146.79,113.87,123.09,48.83,21.95,12.54,46.81,68.33,102.88,158.89,204.83,207.48,148.79,142.13,122.53,103.15,61.98,50.12,358.0,24.0,10.0,46.0,0.0,0.0,0.0,0.0,281.0,483.0,175.04,59864.0,78.64,215.56,128.70999999999998,17116.0,23.2,65.34,36.65,124.0,2.16,1.44,3.25,77099.0,278.33,163.62
1993,Punjab,Amritsar,34.0,116.0,3772,16.42,24.54,36.53,21.87,12.89,35.57,227.12,33.489999999999995,65.5,2.25,5.8100000000000005,0.0,7.35,13.8,16.189999999999998,21.19,26.31,30.28,29.69,27.13,27.65,20.25,13.65,8.129999999999999,21.87,27.19,26.46,36.13,43.13,42.22,37.87,38.5,34.75,33.4,28.21,23.63,28.64,45.54,73.06,,197.51,172.38,0.0,90.03,60.1,95.89,59.67,21.93,,33.97,23.48,13.5,36.82,157.91,60.43,70.73,8.379999999999999,7.01,4.3100000000000005,46.56,66.95,105.03,155.16,209.02,207.2,159.91,148.46,127.83,101.27,67.68,45.06,510.0,16.0,3.0,50.0,3.0,0.0,0.0,3.0,443.0,822.0,190.56,103104.0,84.34,235.85,126.89,20111.0,17.26,48.81,27.55,503.0,2.4,2.1399999999999997,3.61,123712.0,,155.05
1993,Punjab,Kapurthala,0.0,0.0,0,16.810000000000002,16.02,31.23,13.31,11.44,28.12,257.47,35.22,102.8,3.1,2.56,0.0,9.83,11.97,14.33,18.29,26.25,29.39,26.83,26.83,24.63,19.27,13.34,10.23,19.18,28.57,26.83,35.55,,41.12,34.72,37.25,35.31,33.61,30.7,24.11,27.22,49.41,,146.63,200.97,179.41,0.0,64.75,25.8,95.11,63.01,23.86,23.58,34.19,15.23,12.73,30.18,160.41,86.79,107.97,8.690000000000001,8.95,6.99,49.08,69.99,105.69,155.86,211.7,205.59,160.41,149.55,130.78,103.82,66.97,,164.0,4.0,6.0,19.0,4.0,4.0,2.0,10.0,135.0,260.0,196.98,32569.0,80.12,248.86,129.22,8706.0,22.88,67.45,36.74,418.0,,7.109999999999999,4.6,41687.0,314.42,162.57
1993,Punjab,Jalandhar,3.0,0.0,0,16.32,17.43,31.82,,12.8,31.33,237.17,38.36,103.7,1.04,4.46,0.0,8.809999999999999,12.05,16.21,20.33,25.19,27.57,26.85,29.76,26.6,21.15,14.29,9.129999999999999,21.23,26.54,28.85,38.64,43.24,44.13,35.69,39.13,36.29,34.7,30.92,26.18,27.28,47.16,76.58,149.25,,175.66,0.0,75.59,22.85,97.77,62.83,23.46,21.28,31.0,12.46,13.15,33.230000000000004,159.98,74.38,,9.969999999999999,6.96,6.04,48.74,67.45,,158.71,212.88,208.9,157.98,148.97,132.13,103.74,66.79,47.26,344.0,7.0,6.0,16.0,,0.0,0.0,7.0,317.0,529.0,171.15,,79.45,229.97,136.98,17773.0,22.56,60.59,36.65,1812.0,3.99,9.76,6.42,90846.0,292.32,173.05
1993,Punjab,Hoshiarpur,5.0,0.0,0,29.68,29.76,46.75,16.990000000000002,14.4,55.9,334.28,54.44,133.58,3.33,3.6,0.0,7.07,11.24,14.19,18.33,27.23,28.19,26.13,27.1,25.95,21.09,13.74,10.74,20.5,28.53,27.78,35.67,43.14,42.2,34.6,34.87,35.64,34.55,29.79,23.15,14.51,30.33,48.47,138.63,192.64,153.07,0.0,37.39,8.16,65.18,,36.82,42.84,59.03,22.34,16.86,57.64,151.8,104.73,122.7,41.35,20.7,10.64,46.32,69.17,106.49,156.97,207.5,207.72,151.8,138.12,125.86,105.53,64.13,47.15,392.0,130.0,,7.0,0.0,5.0,0.0,10.0,243.0,392.0,162.74,32565.0,81.22,136.55,85.71,7117.0,19.53,30.4,21.29,,3.26,4.79,4.359999999999999,40597.0,170.74,106.35
1993,Punjab,Ludhiana,6.0,9.0,17501,17.28,19.95,27.21,8.530000000000001,10.27,41.2,238.65,49.84,125.19,2.01,,0.0,,11.14,16.07,20.54,26.11,29.46,26.78,29.5,25.37,17.95,13.33,9.92,20.4,27.67,27.98,37.95,41.22,40.78,,37.9,36.0,34.86,31.49,25.46,28.16,,82.63,152.83,203.3,169.15,0.0,69.23,14.7,91.56,63.45,20.82,23.54,26.94,11.23,14.36,42.45,156.0,81.77,121.08,18.23,9.129999999999999,4.66,50.99,68.43,108.56,160.05,210.66,208.6,156.0,148.0,128.78,105.79,68.59,49.26,390.1,14.15,0.0,51.95,0.0,0.0,0.0,0.0,330.0,626.05,191.54,102691.0,81.49,315.03,165.82,24892.0,,77.12,42.95,1603.0,3.24,5.9,4.57,129186.0,399.05,210.34
1993,Punjab,Ferozpur,1206.0,5970.0,4954,12.75,13.28,22.85,13.66,9.530000000000001,22.01,190.37,27.32,79.12,0.0,1.9,0.0,8.67,13.85,15.45,19.58,25.17,27.8,28.4,27.46,25.29,18.49,13.77,9.030000000000001,19.42,27.0,28.06,37.8,,41.74,38.75,40.49,36.93,36.39,30.49,27.12,35.75,59.71,89.44,147.04,204.28,192.55,6.24,130.43,64.06,103.99,66.71,16.53,13.41,21.08,11.12,9.9,19.68,164.47,34.39,,4.0600000000000005,6.27,2.04,50.27,71.12,107.52,156.16,215.19,213.23,169.71,160.82,137.78,108.05,70.97,49.91,,23.14,2.74,56.5,2.0,7.0,0.0,36.5,901.1,1607.6,,205466.0,79.09,233.03,130.89,60073.0,24.54,68.96,41.39,999.0,2.37,2.1100000000000003,4.62,266536.0,,167.9
1993,Punjab,Bhatinda,1456.0,7014.0,4834,10.35,15.11,12.32,5.29,6.55,22.34,138.02,31.95,80.48,2.36,4.37,0.0,9.57,10.62,16.05,18.9,27.45,31.0,28.28,27.04,27.07,18.36,12.43,6.79,,29.51,30.99,36.76,42.16,44.91,37.95,39.43,35.26,36.26,31.72,27.25,43.98,64.5,106.13,158.89,213.57,195.72,41.55,135.73,66.44,109.65,73.43,11.370000000000001,11.85,14.0,8.280000000000001,6.5,23.47,128.45,29.62,78.61,1.43,4.43,4.06,51.34,75.35,,163.17,,217.19,169.0,163.35,141.05,109.08,72.87,52.69,705.24,13.86,,57.5,0.0,0.0,,,624.9,1104.4,179.82,122507.0,82.1,200.67,113.23,32028.0,23.68,53.41,32.08,344.0,1.22,4.55,2.31,154873.0,252.63,144.61
1993,Punjab,Sangrur,241.0,671.0,2811,13.18,17.560000000000002,17.91,7.609999999999999,9.629999999999999,,185.63,50.93,144.47,4.25,4.4,0.0,6.75,13.99,15.13,,27.35,29.51,27.84,27.45,26.27,19.03,13.7,9.77,22.78,29.23,29.55,39.47,41.65,44.01,36.88,37.15,33.03,,32.32,24.84,40.73,58.35,98.74,157.22,205.57,175.31,6.12,90.0,2.57,100.2,71.37,16.04,18.47,15.47,7.4,7.12,31.73,155.19,61.45,129.39,9.95,4.720000000000001,6.1,51.76,,113.21,160.61,214.69,207.04,159.3,148.46,131.96,106.14,,52.07,515.12,9.08,3.0,55.04,0.0,0.0,0.0,3.0,452.0,887.96,197.44,88878.0,80.22,201.5,103.54,24432.0,25.5,55.29,28.64,320.0,2.2800000000000002,1.7,4.36,113625.0,255.49,131.54
1993,Punjab,Patiala,3.0,0.0,0,18.53,21.61,22.58,6.73,8.71,52.89,221.28,76.35,176.09,1.22,2.55,0.0,10.17,11.12,15.22,21.11,27.57,30.42,26.78,28.33,27.21,19.1,13.76,8.09,20.33,28.79,29.98,36.08,43.24,43.42,37.4,38.55,34.57,33.59,31.54,27.38,31.96,48.35,89.6,155.28,204.41,149.14,2.45,47.06,0.0,67.51,59.81,24.75,23.66,23.13,7.86,9.04,53.62,148.05,98.72,125.68,40.02,16.369999999999997,8.48,51.71,70.01,113.72,161.14,210.46,200.77,149.5,142.79,126.68,106.53,70.19,49.29,461.78,17.77,5.0,44.01,0.0,0.0,2.0,4.0,395.0,734.99,188.53,104221.0,80.92,,,26199.0,21.58,69.48,37.83,3342.0,3.5,9.48,8.57,133755.0,341.48,185.98
1993,Rajasthan,Ajmer,771.0,161.0,2072,4.73,8.92,4.49,1.07,4.13,52.36,172.38,91.08,124.25,10.39,2.13,0.0,10.7,15.54,19.12,26.97,30.64,31.93,,26.14,28.32,24.16,16.77,12.15,26.21,30.44,33.760000000000005,40.41,44.7,42.65,34.88,36.16,32.85,36.18,34.42,29.93,73.9,92.34,144.73,181.48,241.08,,5.16,58.87,29.04,116.87,90.0,3.23,,5.35,,6.62,52.29,151.29,90.51,114.52,16.61,3.01,5.17,79.13,97.1,145.08,182.27,245.69,218.03,155.46,142.38,142.56,131.48,93.01,75.46,844.39,50.86,98.26,49.02,76.02,84.28,51.67,61.56,394.57,462.93,121.76,6396.0,,20.37,17.9,3355.0,37.37,11.58,9.29,13.0,4.1,1.03,2.02,9757.0,28.97,23.21
1993,Rajasthan,Alwar,439.0,124.0,2763,6.4,20.03,6.12,5.3100000000000005,6.75,72.08,200.02,146.59,239.11,6.859999999999999,,0.0,11.25,15.16,16.53,23.83,27.68,32.58,30.37,28.15,27.59,20.07,15.26,11.379999999999999,23.99,,31.08,38.2,42.76,43.16,35.76,35.05,35.23,34.4,31.88,26.88,58.04,71.17,,174.0,224.0,141.92,0.0,9.27,0.0,54.59,57.57,12.31,23.71,10.59,5.3100000000000005,7.17,69.95,154.53,132.21,133.77,62.3,31.03,16.08,65.35,89.88,131.91,177.31,229.18,209.86,155.53,141.48,135.77,116.9,84.6,60.6,767.53,,99.39,44.85,16.35,26.03,,23.36,508.65,717.63,144.97,16089.0,86.62,33.69,24.48,3059.0,16.89,9.02,7.27,100.0,4.5,1.19,4.13,,41.9,30.88
1993,Rajasthan,Banswara,830.0,204.0,2441,0.0,2.87,6.0,0.0,4.96,75.53,478.71,143.03,316.71,14.24,5.66,4.07,,15.44,23.12,,30.32,29.85,29.06,26.39,,24.61,17.07,,31.8,35.68,34.54,39.57,42.33,40.19,35.07,33.370000000000005,31.63,35.03,35.26,32.25,92.01,117.56,,223.26,269.48,142.96,0.0,3.05,0.0,46.2,,11.73,9.809999999999999,10.0,5.02,6.21,72.73,131.19,122.74,133.05,89.83,41.33,19.05,99.74,123.37,179.88,223.28,272.69,211.69,134.19,121.79,134.05,131.03,108.96,93.37,510.51,104.67,,10.25,24.69,22.94,35.07,17.7,231.6,340.7,148.52,13765.0,80.02,63.93,42.63,4264.0,27.55,19.57,15.59,81.0,4.43,3.34,1.23,,81.84,57.45
1993,Rajasthan,Barmer,17.0,8.0,2862,3.61,10.32,3.01,10.51,2.87,17.67,138.29,14.61,37.06,4.470000000000001,16.380000000000003,0.0,13.13,17.04,20.08,25.98,29.25,30.54,30.93,28.06,30.79,23.61,18.98,12.42,28.65,34.14,34.91,42.87,44.76,43.17,37.45,37.77,37.25,38.84,35.88,29.96,84.66,93.66,162.75,196.85,269.61,221.88,54.2,156.8,132.79,140.58,87.38,4.13,10.42,2.36,10.46,5.05,17.14,129.61,12.87,34.79,4.6899999999999995,15.97,3.19,84.79,102.09,162.09,201.31,273.67,237.01,180.81,169.67,167.58,141.26,103.35,84.27,2821.33,25.16,127.89,73.66,,213.71,353.58,306.55,1500.36,1557.65,107.96,921.0,83.56,,4.59,213.0,22.39,2.14,4.13,15.0,5.05,1.01,2.01,1143.0,2.76,2.73
1993,Rajasthan,Bharatpur,15.0,4.0,2504,7.029999999999999,,7.95,4.64,6.34,57.27,208.59,163.54,242.02,4.8100000000000005,0.0,0.0,10.8,13.49,17.15,22.53,31.43,30.53,30.1,28.66,,21.73,13.65,8.73,25.48,28.4,32.8,38.87,43.34,43.7,37.12,35.11,34.19,34.59,33.22,27.2,55.43,73.4,126.57,175.29,226.18,160.0,0.0,4.25,0.0,43.91,54.82,14.81,,13.02,6.12,6.11,53.16,153.59,135.28,132.75,74.02,30.41,17.08,67.24,92.86,133.59,178.42,233.3,211.15,151.59,135.53,133.75,118.92,84.24,62.68,809.97,50.99,95.0,49.43,21.83,31.48,25.07,22.47,539.45,677.73,129.95999999999998,21256.0,76.99,43.62,32.45,7726.0,30.52,17.4,12.43,146.0,4.49,2.26,2.21,29120.0,57.28,44.09
1993,Rajasthan,Bhilwara,1605.0,308.0,1914,4.42,6.0600000000000005,2.12,1.09,7.17,73.4,232.04,120.22,204.02,13.32,4.51,0.0,13.26,13.8,21.64,26.3,31.8,32.760000000000005,27.95,,25.97,,16.29,11.63,25.83,31.82,33.57,37.78,,41.37,33.18,33.31,33.269999999999996,37.81,35.31,,74.55,96.19,150.91,193.7,254.27,152.95,2.01,22.4,4.109999999999999,74.61,78.67,7.19,8.030000000000001,7.3,3.77,6.34,71.01,150.81,117.1,138.31,58.45,17.73,8.09,,100.22,156.21,196.47,255.62,218.96,153.83,137.5,141.42,129.05,94.4,76.9,1039.45,65.03999999999999,156.4,63.36,178.19,121.73,64.86,68.97,336.6,440.85,133.25,12831.0,67.73,41.57,32.16,6643.0,37.02,22.96,19.09,51.0,3.25,1.15,1.11,19518.0,62.68,45.37
1993,Rajasthan,Bikaner,1957.0,611.0,3101,7.45,8.7,2.26,,8.219999999999999,23.59,101.79,15.02,39.2,4.3100000000000005,2.61,0.0,11.66,13.91,19.42,24.2,32.14,33.31,30.1,28.36,30.7,,17.509999999999998,11.940000000000001,24.07,31.0,31.39,38.19,44.66,45.24,40.67,39.45,38.01,,34.260000000000005,27.09,63.98,82.94,139.51,184.94,238.54,210.57,103.26,187.38,120.3,132.2,90.68,6.23,7.36,5.1899999999999995,4.8,5.96,23.51,97.75,13.37,36.39,,4.58,0.0,69.21,92.31,140.7,188.75,243.5,232.08,200.01,199.75,156.69,132.45,92.27,66.75999999999999,2740.05,76.65,38.74,239.44,947.88,56.14,182.95,212.91,1007.34,1061.58,108.51,24286.0,84.77,25.2,25.94,4653.0,18.04,8.629999999999999,7.39,59.0,4.19,3.05,1.05,28988.0,29.89,29.38
1993,Rajasthan,Bundi,0.0,0.0,0,1.4,8.36,5.3100000000000005,1.19,7.28,85.26,276.12,168.16,235.27,8.84,2.05,0.0,13.45,13.8,20.57,26.56,32.33,33.54,,29.08,27.44,24.1,18.32,13.64,24.8,32.09,34.04,41.68,44.04,41.55,35.03,36.73,34.8,,35.07,30.91,71.83,90.15,151.7,194.0,253.12,141.84,0.0,0.0,0.0,49.28,73.52,9.08,12.22,5.14,5.3100000000000005,8.71,80.46,157.93,135.44,137.82,84.39,19.55,12.53,79.91,102.36,152.84,198.31,255.84,223.3,154.93,133.44,140.82,130.68,92.08,73.15,,140.76,56.66,37.45,39.06,26.21,26.55,20.1,258.07,347.2,,11367.0,75.18,46.55,35.92,4280.0,30.18,,14.4,103.0,3.64,4.39,4.29,15747.0,62.72,48.61
1993,Rajasthan,Chittorgarh,109.0,15.0,1304,,3.9699999999999998,3.87,4.07,7.77,,305.43,150.36,278.97,12.32,,,12.65,14.88,19.83,26.35,30.45,30.11,26.99,28.12,27.19,21.63,18.52,13.99,26.73,33.35,33.35,39.27,42.08,42.75,32.05,34.519999999999996,34.519999999999996,37.42,34.21,30.64,75.07,98.47,158.66,202.52,259.23,,0.0,4.0600000000000005,0.0,46.12,62.24,,11.95,8.89,6.0600000000000005,7.86,,143.18,127.17,134.93,87.17,39.56,18.84,86.42,105.42,163.55,207.58,263.09,216.19,144.18,,135.93,131.29000000000002,99.8,79.95,1039.78,171.45,126.11,44.21,191.03,82.39,27.76,27.3,382.3,549.95,147.08,23788.0,66.65,64.53999999999999,45.41,12794.0,35.77,36.64,25.35,215.0,2.58,4.5600000000000005,4.39,36792.0,98.73,68.14
1993,Rajasthan,Churu,7.0,2.0,3331,6.75,11.91,6.12,5.28,6.9,37.55,120.57,41.33,70.54,6.0,1.12,0.0,10.969999999999999,13.75,15.35,24.57,27.58,31.78,28.18,29.69,,23.13,13.99,10.98,22.75,29.21,30.17,40.05,42.79,44.45,36.95,40.18,38.61,38.8,33.129999999999995,28.17,63.33,81.81,132.24,185.62,,195.52,73.23,140.1,87.74,121.92,84.88,6.57,12.42,4.02,4.23,6.71,38.73,114.75,38.47,68.12,3.9,2.12,0.0,64.9,91.23,133.26,183.85,232.38,230.25,182.98,176.57,150.86,123.82,86.01,64.82,1689.19,8.85,1.6800000000000002,73.62,16.86,50.33,68.08,97.7,1383.08,1406.13,103.6,258.0,86.26,1.18,4.18,60.0,22.06,1.04,,0.0,0.0,0.0,0.0,314.0,,4.22
1993,Rajasthan,Dungarpur,9.0,6.0,2501,4.01,3.66,3.24,3.06,3.93,53.89,418.46,95.51,215.76,12.25,4.42,0.0,15.51,17.4,20.14,,31.45,32.3,28.61,26.0,28.68,22.82,19.06,14.47,28.79,33.0,37.77,39.77,44.51,,32.67,36.19,35.260000000000005,36.3,34.81,33.64,86.59,111.82,174.09,218.06,262.11,158.92,0.0,14.42,0.0,48.38,54.62,17.11,9.56,10.58,5.01,4.9,,138.95,111.32,136.84,87.04,55.53,35.8,100.69,123.38,,219.07,265.01,211.55,136.95,124.74,137.84,131.42,107.15,99.86,386.59,62.44,80.06,25.82,28.8,36.78,29.79,13.22,123.73,168.62,137.95,1387.0,65.57,12.28,12.36,788.0,39.06,10.4,,10.0,3.37,4.07,1.05,2180.0,20.74,17.14
1993,Rajasthan,Ganganagar,24128.0,11848.0,4912,5.69,6.11,8.49,7.1899999999999995,7.28,12.89,92.35,,,3.38,4.17,0.0,8.18,11.4,15.18,22.0,28.93,31.13,30.14,29.56,28.08,21.93,12.86,8.46,24.83,30.22,32.31,40.78,45.99,44.58,,42.94,39.8,37.3,34.91,26.13,52.76,79.49,120.49,173.79,234.05,225.86,113.84,184.06,132.1,123.26,81.74,8.45,6.86,9.219999999999999,,6.02,13.29,86.93,12.64,28.46,2.36,1.16,0.0,56.21,84.34,124.71,173.82,237.06,236.15,194.77,193.71,156.56,122.62,83.91,55.02,2065.2,66.33,9.24,123.63,72.28,15.8,98.48,252.34,1441.83,1787.17,126.23,64872.0,81.27,48.12,38.32,15647.0,,12.88,10.76,300.0,2.37,1.21,4.17,80811.0,60.2,49.24
1993,Rajasthan,Jaipur,10.0,3.0,3334,5.32,21.72,4.57,4.51,7.74,68.25,180.89,124.42,150.65,7.15,0.0,0.0,11.17,15.51,19.5,22.4,29.01,31.35,28.02,25.81,26.4,,14.81,,22.79,29.42,32.78,40.29,44.88,43.11,36.52,35.69,33.33,36.9,32.36,29.58,68.21,76.38,134.59,180.32,227.05,151.21,8.02,25.22,14.55,104.68,79.39,7.54,21.27,4.37,3.98,8.77,67.96000000000001,154.17,118.51,131.01999999999998,20.91,7.3,4.73,72.75,94.65,140.96,181.3,,214.16,156.19,141.73,140.56,125.6,88.69,69.76,1450.63,88.87,84.07,95.5,44.31,109.01,64.99000000000001,91.1,885.07,1157.56,134.89,23733.0,72.83,28.9,,10079.0,,14.43,9.73,178.0,1.52,4.2,3.15,33986.0,39.53,32.44
1993,Rajasthan,Jaisalmer,0.0,0.0,0,3.4699999999999998,8.91,2.27,,4.49,12.28,79.03,6.74,18.490000000000002,4.5600000000000005,10.91,0.0,10.26,16.93,22.19,24.29,32.120000000000005,31.82,30.54,29.96,31.58,23.05,18.939999999999998,13.51,27.11,34.44,34.85,42.64,47.33,45.7,42.52,42.45,38.08,39.29,,28.83,81.16,95.37,158.21,202.1,270.41,235.49,131.79,195.32,152.19,151.25,94.07,3.4,8.67,2.26,8.16,5.42,8.870000000000001,73.28,6.609999999999999,18.72,1.53,,0.0,82.56,100.03,157.47,,269.83,246.37,206.08,197.92,167.91,148.78,100.49,83.78,3841.65,25.94,364.24,93.25,2955.54,111.53,63.32,44.58,301.24,304.47,101.74,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Rajasthan,Jalore,255.0,72.0,2742,2.44,3.82,3.08,6.2,2.77,26.79,228.53,28.82,72.05,6.69,16.58,,12.67,15.1,21.23,27.21,29.73,31.16,27.82,29.11,28.52,24.49,17.15,13.03,,35.620000000000005,34.32,42.02,46.53,42.7,37.25,38.73,37.16,38.39,35.15,32.67,91.08,103.28,164.49,197.82,262.8,207.19,2.81,98.66,83.01,128.59,84.41,5.48,8.17,2.21,5.99,5.46,24.26,162.64,56.58,76.88,13.5,18.02,6.109999999999999,93.56,105.45,,,264.26,231.46,165.45,151.24,158.89,140.1,100.43,84.25,1057.4,20.63,89.54,,24.59,49.13,108.81,110.34,630.66,791.16,126.21,,80.99,14.82,13.44,1814.0,22.51,3.88,4.3,48.0,4.5,2.07,4.06,9288.0,17.77,15.8
1993,Rajasthan,Jhalawar,82.0,10.0,763,4.04,3.47,8.51,1.08,7.99,86.3,353.92,221.19,348.66,11.46,4.32,3.19,14.34,16.25,,24.5,29.94,32.45,27.23,26.05,27.17,23.21,18.05,14.18,28.03,,35.59,39.88,43.78,42.82,33.47,35.489999999999995,32.53,36.82,35.21,31.21,81.14,103.08,157.2,204.7,269.58,138.49,0.0,0.0,0.0,46.37,78.39,8.77,10.04,10.84,2.99,10.24,85.29,140.83,131.09,131.38,84.29,17.939999999999998,10.379999999999999,85.91,108.12,165.04,208.68,275.83,218.78,137.83,130.09,128.38,129.66,94.33,80.33,635.24,117.96,42.01,28.55,65.87,55.64,20.67,12.71,310.35,459.84,151.48,8401.0,65.14,31.23,21.34,4857.0,38.51,16.75,14.61,49.0,4.35,1.15,4.1,13302.0,46.13,32.05
1993,Rajasthan,Jhunjhunu,8.0,4.0,2864,6.55,16.939999999999998,4.91,2.2199999999999998,6.65,56.61,149.64,,117.33,7.15,1.1,0.0,10.43,12.15,17.82,23.79,27.83,29.14,30.38,26.31,26.46,19.37,15.51,7.6,24.14,31.64,32.31,37.3,43.91,41.41,37.51,38.2,37.08,36.78,32.370000000000005,26.6,60.72,77.67,130.56,174.74,223.08,171.2,30.11,76.77,35.21,116.16,85.39,7.75,16.29,6.67,3.87,7.02,53.45,140.56,79.28,110.88,4.34,4.39,2.27,65.46000000000001,91.95,132.23,,225.09,220.65,167.67,152.05,144.08,117.51,85.78,,592.68,43.34,16.73,21.73,9.99,42.52,20.58,21.33,434.39,558.9,131.73,2849.0,,8.559999999999999,7.1,704.0,21.74,5.62,4.26,10.0,3.25,2.02,4.02,3558.0,12.21,9.370000000000001
